course,instructor,quarter,year,A,nLetterStudents
PSY     199,ECKSTEIN M P,Winter,2021,10,10
PSY     199,KIM H S,Winter,2021,6,6
PSY     199,LIBERMAN Z E,Winter,2021,8,8
PSY     199,MACKIE D M,Winter,2021,6,6
PSY     199,SCHOOLER J W,Winter,2021,0,5
PSY     199,SHERMAN D A,Winter,2021,6,6
PSY     163RE,REESE B E,Winter,2021,2,18
PSY     163EJ,JACOBS E,Winter,2021,50,52
PSY     160JS,SCHOOLER J W,Winter,2021,24,88
PSY     159,SHERMAN D A,Winter,2021,63,143
PSY     155L,RONEY J R,Winter,2021,5,24
PSY     154,KIM H S,Winter,2021,28,118
PSY     145,GERMAN T C M,Winter,2021,26,97
PSY     142,COSMIDES L,Winter,2021,8,31
PSY     139,YU H,Winter,2021,13,103
PSY     134,SZUMLINSKI K,Winter,2021,85,199
PSY     124,MAYER R E,Winter,2021,65,94
PSY     123,LAPATE R C,Winter,2021,11,77
PSY     120L,WOODS V E,Winter,2021,29,92
PSY     117L,HEGARTY M,Winter,2021,14,31
PSY     117,KLEIN S B,Winter,2021,14,57
PSY     116,KEIFLIN R P,Winter,2021,55,102
PSY     115,SZUMLINSKI K,Winter,2021,31,84
PSY     113L,JANUSONIS S,Winter,2021,28,92
PSY     106,SCUDDER S L,Winter,2021,90,369
PSY     105,LIBERMAN Z E,Winter,2021,73,290
PSY     102,IHM E D,Winter,2021,71,322
PSY      10B,CONROY-BEAM D,Winter,2021,22,119
PSY      10B,RATNER K G,Winter,2021,88,122
PSY      10A,ALBADA N A,Winter,2021,59,186
PSY       1,GABLE S,Winter,2021,201,688
PSTAT   596,FRANKS A,Winter,2021,0,0
PSTAT   596,MEIRING W,Winter,2021,0,0
PSTAT   596,OH SANG-YUN,Winter,2021,0,0
PSTAT   596,WANG Y-D,Winter,2021,0,0
PSTAT   501,WAINWRIGHT B,Winter,2021,0,0
PSTAT   296B,DUNCAN I,Winter,2021,15,17
PSTAT   296B,DUNCAN J E,Winter,2021,15,17
PSTAT   296B,PEDERSEN H W,Winter,2021,15,17
PSTAT   263,GU M,Winter,2021,0,0
PSTAT   263,SHKOLNIK A D,Winter,2021,0,0
PSTAT   262MC,SHKOLNIK A D,Winter,2021,9,10
PSTAT   262LC,HU R,Winter,2021,4,6
PSTAT   262DS,YU G,Winter,2021,10,13
PSTAT   232,MEIRING W,Winter,2021,10,19
PSTAT   231,RUIZ T D,Winter,2021,11,16
PSTAT   220B,WANG Y-D,Winter,2021,6,25
PSTAT   213B,FELDMAN R,Winter,2021,3,11
PSTAT   207B,JAMMALAMADAKA,Winter,2021,3,16
PSTAT   197B,FRANKS A,Winter,2021,23,23
PSTAT   197B,OH SANG-YUN,Winter,2021,23,23
PSTAT   182T,LUDKOVSKI M,Winter,2021,0,0
PSTAT   172A,DUNCAN I,Winter,2021,9,87
PSTAT   171,ICHIBA T,Winter,2021,17,91
PSTAT   170,PEDERSEN H W,Winter,2021,10,79
PSTAT   160B,FOUQUE J-P,Winter,2021,101,154
PSTAT   160A,DETERING N,Winter,2021,48,93
PSTAT   160A,ZANGER D,Winter,2021,24,80
PSTAT   135,TASHMAN A P,Winter,2021,35,53
PSTAT   131,LI ZHIJIAN,Winter,2021,5,25
PSTAT   131,RUIZ T D,Winter,2021,15,87
PSTAT   130,HE J,Winter,2021,45,136
PSTAT   127,MEIRING W,Winter,2021,7,94
PSTAT   126,YU G,Winter,2021,54,130
PSTAT   126,ZANGER D,Winter,2021,23,124
PSTAT   120C,GU M,Winter,2021,13,38
PSTAT   120B,HE J,Winter,2021,17,131
PSTAT   120B,RUIZ T D,Winter,2021,64,103
PSTAT   120A,RAVAT U V,Winter,2021,64,273
PSTAT   109,WAINWRIGHT B,Winter,2021,139,274
PSTAT   105,CARTER A V,Winter,2021,23,112
PSTAT    10,HOLMES D E,Winter,2021,76,262
PSTAT     5H,HE J,Winter,2021,0,0
PSTAT     5A,SWENSON J S,Winter,2021,70,436
PORT    129B,DE BRITO E SO,Winter,2021,0,17
PORT    125B,CORREA DE SA,Winter,2021,17,18
PORT    115A,DE BRITO E SO,Winter,2021,2,16
PORT    106,DE BRITO E SO,Winter,2021,4,9
PORT     16A,CENICEROS R C,Winter,2021,4,18
PORT      5,MARQUES-PASCU,Winter,2021,1,10
PORT      2,MARQUES-PASCU,Winter,2021,3,13
POL S   599,COHEN B J,Winter,2021,0,0
POL S   594PC,FREEMAN L A,Winter,2021,5,5
POL S   594CW,COGGINS B L,Winter,2021,2,5
POL S   295,STOKES L C,Winter,2021,6,6
POL S   263,LIEN P,Winter,2021,4,9
